Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
--,0.61,-0.69,-0.99,0,1,--,--,--,1050.00,1341.50,1399.25,1397.97,1418.70,-40.07,1357.90,26050,15.90,NIFTY,1.10,1.10,--,--,1.10,1.25,135975.00,6.30,8025.00,329100.00,--,0.01,-0.69,0.61,--
--,0.59,-0.69,-0.99,--,0,--,--,--,750.00,1391.30,1496.55,1447.97,1468.70,64.18,1512.15,26100,16.40,NIFTY,1.10,1.10,--,--,1.10,1.20,301500.00,42.90,90450.00,698775.00,--,0.01,-0.69,0.59,--
--,0.56,-0.67,-0.99,0,0,--,--,--,825.00,1440.85,1546.60,1497.97,1518.70,63.93,1561.90,26150,16.80,NIFTY,1.05,1.05,--,--,1.05,1.10,63000.00,171.00,39750.00,161925.00,--,0.01,-0.67,0.56,--
--,0.51,-0.62,-0.99,--,1,675.00,525.00,100.00,1050.00,1537.70,1548.95,1547.97,1568.70,-8.47,1539.50,26200,17.10,NIFTY,0.95,0.95,--,--,0.90,0.95,768375.00,178.50,492450.00,1548975.00,--,0.01,-0.62,0.51,--
--,0.50,-0.62,-0.99,--,0,--,--,--,225.00,1539.25,1647.40,1597.97,1618.70,99.03,1697.00,26250,17.50,NIFTY,0.95,0.95,--,--,0.90,0.95,152700.00,1313.90,141900.00,241950.00,--,0.01,-0.62,0.50,--
--,0.47,-0.60,--,--,1,--,--,--,975.00,1589.00,1697.50,1647.97,1668.70,-51.72,1596.25,26300,17.90,NIFTY,0.90,0.90,--,--,0.85,0.90,248700.00,88.80,117000.00,318900.00,--,--,-0.60,0.47,--
--,0.48,-0.63,--,0,0,--,--,--,225.00,1638.55,1747.85,1697.97,1718.70,99.13,1797.10,26350,18.50,NIFTY,0.95,0.95,--,--,0.85,1.10,14175.00,71.80,5925.00,26475.00,--,--,-0.63,0.48,--
--,0.45,-0.61,--,--,0,--,--,--,225.00,1688.30,1797.55,1747.97,1768.70,97.98,1845.95,26400,18.80,NIFTY,0.90,0.90,--,--,0.85,0.90,807075.00,449.30,660150.00,1191150.00,--,--,-0.61,0.45,--
--,0.42,-0.58,--,0,0,--,--,--,300.00,1738.05,1847.60,1797.97,1818.70,96.43,1894.40,26450,19.20,NIFTY,0.85,0.85,--,--,0.80,0.85,83475.00,637.10,72150.00,91125.00,--,--,-0.58,0.42,--
--,0.45,-0.64,--,--,1,--,--,--,2550.00,1787.85,1897.65,1847.97,1868.70,-44.17,1803.80,26500,19.90,NIFTY,0.95,0.95,--,--,0.80,0.95,1741575.00,100.80,874200.00,3438675.00,--,--,-0.64,0.45,--
--,0.41,-0.58,--,0,1,75.00,75.00,25.00,375.00,1837.55,1947.65,1897.97,1918.70,-7.97,1890.00,26550,20.10,NIFTY,0.85,0.85,--,--,0.80,0.95,22050.00,212.80,15000.00,49050.00,--,--,-0.58,0.41,--
--,0.38,-0.56,--,0,1,150.00,--,--,225.00,1935.90,1997.75,1947.97,1968.70,-57.37,1890.60,26600,20.40,NIFTY,0.80,0.80,--,--,0.75,0.80,40500.00,285.70,30000.00,107025.00,--,--,-0.56,0.38,--
--,0.36,-0.53,--,0,0,--,--,--,300.00,1937.15,2047.80,1997.97,2018.70,95.68,2093.65,26650,20.70,NIFTY,0.75,0.75,--,--,0.75,0.80,55875.00,249.80,39900.00,158700.00,--,--,-0.53,0.36,--
